familia,collection,subcollection,category_type,sku,name,dimensions,price_usd,barcode,ean,precio_cop,foto,foto_en_disco
Platos,ANTICO DOCCIA,,BIANCO,003RG00 FPT110010170B00000000,BREAD PLATE,"D 6,69 in | H 0,98 in | Wgt: 0,55 lb",35,685077010024,8026672010026,385000,,
Platos,ANTICO DOCCIA,,BIANCO,003RG00 FPT110010210B00000000,DESSERT PLATE,"D 8,27 in | H 1,1 in | Wgt: 0,84 lb",55,685077061941,8026672061943,605000,,
Platos,ANTICO DOCCIA,,BIANCO,003RG00 FPT110010265B00000000,DINNER PLATE,"D 10,43 in | H 1,34 in | Wgt: 1,32 lb",65,685077061927,8026672061929,715000,,
Platos,ANTICO DOCCIA,,BIANCO,003RG00 FPT210010240B00000000,SOUP PLATE,"D 9,45 in | H 1,73 in | C 10,08 fl.oz | Wgt: 1,06 lb",55,685077061934,8026672061936,605000,,
Platos,ANTICO DOCCIA,,BIANCO,003RG00 FPT210010280B00000000,SOUP PLATE,"D 11,18 in | H 2,13 in | Wgt: 1,46 lb",85,685077082465,8026672082467,935000,,
Platos,ANTICO DOCCIA,,BIANCO,003RG00 FPT110010310B00000000,CHARGER PLATE,"D 12,2 in | H 0,98 in | Wgt: 2,2 lb",100,685077037458,8026672037450,1100000,,
Bandejas y platos ovalos,ANTICO DOCCIA,,BIANCO,003RG00 FRV000010220B00000000,PICKLE DISH,"H 1,38 in | W 8,86 in | Wgt: 0,75 lb",80,685077015111,8026672015113,880000,,
Platos,ANTICO DOCCIA,,BIANCO,003RG00 FPT12001021XB00000000,SQUARED PLATE,"H 0,75 in | W 8,46 in | Wgt: 1,28 lb",55,685077504776,8026672504778,605000,,
Platos,ANTICO DOCCIA,,BIANCO,003RG00 FPT12001026XB00000000,SQUARED PLATE,"H 0,71 in | W 10,55 in | Wgt: 1,82 lb",75,685077504813,8026672504815,825000,,
Bandejas y platos ovalos,ANTICO DOCCIA,,BIANCO,003RG00 FVS130010340B00000000,PLATTER,"H 1,77 in | W 13,39 in | Wgt: 2,28 lb",145,685077011779,8026672011771,1595000,,
Bandejas y platos ovalos,ANTICO DOCCIA,,BIANCO,003RG00 FVS210010310B00000000,PLATTER,"D 12,2 in | H 1,77 in | Wgt: 2,65 lb",110,685077004900,8026672004902,1210000,,
Bandejas y platos ovalos,ANTICO DOCCIA,,BIANCO,003RG00 FVS130010385B00000000,PLATTER,"H 1,69 in | W 15,16 in | Wgt: 3,75 lb",165,685077005419,8026672005411,1815000,,
"Bowls, ensaldera y fruteras",ANTICO DOCCIA,,BIANCO,003RG00 FCP030010260B00000000,RICE BOWL,"D 4,06 in | H 2,48 in | C 8,79 fl.oz | Wgt: 0,22 lb",30,685077486140,8026672486142,330000,,
"Bowls, ensaldera y fruteras",ANTICO DOCCIA,,BIANCO,003RG00 FCP000010150B00000000,FRUIT BOWL,"D 5,75 in | H 1,54 in | Wgt: 0,42 lb",35,685077061743,8026672061745,385000,,
"Bowls, ensaldera y fruteras",ANTICO DOCCIA,,BIANCO,003RG00 FCP000010175B00000000,FRUIT BOWL,"D 6,89 in | H 1,34 in | C 13,96 fl.oz | Wgt: 0,57 lb",35,685077029033,8026672029035,385000,,
"Bowls, ensaldera y fruteras",ANTICO DOCCIA,,BIANCO,003RG00 FIN020010170B00000000,BOWL,"D 6,77 in | H 2,72 in | C 29,62 fl.oz | Wgt: 0,98 lb",75,685077488267,8026672488269,825000,,
