SKU,Descripcion,Material,Precio_EUR,Precio_COP,EAN,foto
H.ALZ.CUP1,Dome for Girasole stand,Acrílico,14.52,190000,8057014541304,cupola-per-girasole-trasparente-2142.jpg
H.ALZ.DOL1,Cake stand clear,Acrílico,30.25,396000,8057014590111,alzata-dolce-trasparente-1389.jpg
H.ALZ.GIR1,Girasole cake dome amber,Acrílico,54.45,713000,8057014590005,girasole-ambra-1441.jpg
H.ALZ.GIR2,Girasole cake dome clera,Acrílico,54.45,713000,8057014590029,girasole-trasparente-1444.jpg
H.ALZ.GUE1,Guendalina stand for fruit red,Melamina,30.25,396000,8057014590098,placeholder.jpg
H.ALZ.NIN1,Ninfea cake dome amber,Acrílico,30.25,396000,8057014590043,ninfea-ambra-1445.jpg
H.ALZ.NIN2,Ninfea cake dome clear,Acrílico,30.25,396000,8057014590067,ninfea-trasparente-1447.jpg
H.ALZ.NIN3,Ninfea cake dome red,Acrílico,30.25,396000,8057014590050,ninfea-rosso-1446.jpg
H.ALZ.NIN4,Ninfea cake dome green,Acrílico,30.25,396000,8057014590074,ninfea-verde-1448.jpg
H.ALZ.NIN5,Ninfea cake dome gold,Acrílico,33.88,444000,8057014542288,ninfea-oro-2359.jpg
H.ALZ.SUS1,Susan centerpiece gold,Acrílico,55.00,720000,8057014543353,susan-oro-2411.jpg
H.ALZ.SUS2,Susan centerpiece red,Acrílico,55.00,720000,8057014543360,susan-rosso-2408.jpg
H.ALZ.SUS3,Susan centerpiece clear,Acrílico,55.00,720000,8057014543377,susan-trasparente-2412.jpg
H.ALZ.SUS4,Susan centerpiece green,Acrílico,55.00,720000,8057014543384,susan-verde-2413.jpg
H.BIK.BN1,Biancaneve Shot clear,Acrílico,5.50,72000,8057014544800,biancaneve-trasparente-2554.jpg
H.BIK.BN2,Biancaneve Shot gold,Acrílico,5.50,72000,8057014544817,biancaneve-oro-2553.jpg
H.BIK.BN3,Biancaneve Shot green,Acrílico,5.50,72000,8057014544824,biancaneve-verde-2552.jpg
H.BIK.BN4,Biancaneve Shot royal blue,Acrílico,5.50,72000,8057014544831,biancaneve-blu-2551.jpg
H.BIK.BN5,Biancaneve Shot red,Acrílico,5.50,72000,8057014544848,biancaneve-rosso-2550.jpg
H.BIK.BN6,Biancaneve Shot turquoise,Acrílico,5.50,72000,8057014544855,biancaneve-turchese-2549.jpg
H.BIK.DF1,Double Face tumbler fluo orange,Acrílico,8.47,111000,8057014590234,double-face-arancio-1054.jpg
H.BIK.DF2,Double Face tumbler fluo green,Acrílico,8.47,111000,8057014590258,double-face-verde-1055.jpg
H.BIK.DF3,Double Face tumbler fluo fuxia,Acrílico,8.47,111000,8057014590241,double-face-fuxia-1053.jpg
H.BIK.DF4,Double Face tumbler light blue,Acrílico,8.47,111000,8057014590227,double-face-turchese-1057.jpg
H.BIK.DF5,Double Face tumbler black,Acrílico,8.47,111000,8057014590265,double-face-nero-1056.jpg
